objectname,RA,DEC,prob,period,comper,Type,SNR1,SNR2,sector
TIC 47175622,145.354745,-7.656434,0.8255875,0.7594634623813521,0.7594634623813521,EA,1.6646219230814874,2.013973927138876,[8]
TIC 206590856,20.7761717423154,-54.1834375399891,0.825552,0.1162860280236022,0.1162860280236022,DSCT,1.8378770374181432,2.04158953506874,[2]
TIC 27308818,294.880403,50.266926,0.8253773,0.2335111903181798,0.2335111903181798,ROT,3.7887239627301024,4.7538717154470085,"[14, 15, 40, 41]"
TIC 9805120,47.6077357018413,-6.40684798976588,0.8253332,1.2761078044962677,0.6380539022481337,EA,1.2905256319093672,3.3490199025930467,[31]
TIC 240757326,11.1812489490188,48.2843652684807,0.8251951,1.2510248623704407,1.2510248623704407,ROT,2.424634573919828,1.8641727995440265,[17]
TIC 330733844,334.060935829701,54.1671168979165,0.8251607,0.2365442655818328,0.2365442655818328,ROT,7.381305826976818,6.793907749342318,"[16, 17]"
TIC 336197099,333.971270064318,60.6131056729288,0.82487327,3.120089233649175,3.120089233649175,CEP,2.405577119594698,1.2153748093768324,[16]
TIC 147131974,322.075465140581,-44.1548308671449,0.8246694,0.8010776928418833,0.4005388464209417,EW,1.1034908281591396,36.35492378723444,[1]
TIC 335484090,332.747886,63.399536,0.8245558,0.3143067194780441,0.3143067194780441,RRC,24.4834586219384,1.2886260665506897,"[16, 17, 24]"
TIC 318020305,304.754303,-83.249956,0.824284,1.3747596558408854,1.3747596558408854,ROT,2.464325902444606,2.098850502404322,[13]
TIC 299948201,208.168016,-63.25283,0.8242646,0.1413978851589245,0.1413978851589245,DSCT,4.456091157893322,6.075878460368124,"[11, 38]"
TIC 34879783,147.4880899726,-45.7327369596754,0.82419235,0.8680580788576886,0.8680580788576886,ROT,1.9998791385899344,2.5922228505263125,[36]
TIC 440686488,57.1167863531858,23.3007585220958,0.8238761,0.2352926021474728,0.2352926021474728,ROT,4.740696214705542,4.542473397634656,"[42, 43, 44]"
TIC 175637609,246.865218625825,-28.3639914444919,0.8238717,4.2817384035695305,4.2817384035695305,ROT,4.000530364839288,2.652068079431774,"[12, 39]"
TIC 29666176,315.276947063444,-29.7501120191626,0.82380635,0.4455530378728449,0.2227765189364224,ROT,1.2251099117688908,3.22523172604719,[28]
TIC 454442954,169.978177503013,-75.6439455656868,0.8234793,1.1154204487452737,0.5577102243726367,EA,2.389731965831938,6.999578050876217,"[37, 38, 39]"
TIC 365544575,327.707327941122,54.3758266738892,0.8234305,0.343896650760466,0.343896650760466,ROT,3.308716792579266,3.3480341082822864,"[16, 17]"
TIC 20215452,227.316844545834,36.0333875277542,0.82334274,0.5956269828587447,0.5956269828587447,EA,17.628411755025954,13.254526493924097,[24]
TIC 148470203,77.4955111335394,63.5611649484016,0.82323855,5.855919905961248,5.855919905961248,ROT,5.19588378612593,4.451725204645428,[19]
TIC 129861919,55.5501519986224,-38.4968177265959,0.8231663,0.7019334186702565,0.3509667093351282,EW,1.6499631883470791,15.556492489902626,[31]
TIC 259477022,70.782402315123,-53.6624876708112,0.82314897,10.664863376865004,5.332431688432502,ROT,1.1167412152864356,2.5096845903398983,[3]
TIC 152479307,171.713903,-38.415374,0.8230505,3.2624958987087496,3.2624958987087496,ROT,3.464375550193429,3.446328990930875,"[10, 36, 37]"
TIC 55559135,73.1913410607011,-64.1017376272972,0.8228827,1.5716820048442557,1.5716820048442557,ROT,2.015326064218978,1.8435763774080225,[4]
TIC 379470965,284.324373,-55.833212,0.82284987,0.4550904364313584,0.4550904364313584,ROT,2.08119922792426,1.4600332911803409,[13]
